Method, MAE, RMSE, MAPE
# sentiment
Ridge_Polarity,20.023899,21.134294,0.404558
GRU_Polarity,27.843998877136,29.400125852237025,0.5692254059900559
Ridge_Subjectivity,19.200070,20.364143,0.379666
GRU_Subjectivity,20.513507563177864,23.82517061986201,0.43353115209997656
Ridge_Combined_Sentiment,19.909365,21.031732,0.402354
GRU_Combined_Sentiment,27.854540957332993,29.431337394447937,0.5703785962133457
Ridge_Decay_Polarity,20.032634,21.148782,0.404617
GRU_Decay_Polarity,29.03717706115951,30.571939660513472,0.5905943322233103
Ridge_Decay_Subjectivity,19.293430,20.451137,0.380822
GRU_Decay_Subjectivity,20.187154208598805,23.470554124454086,0.42514475656004885
Ridge_Decay_Combined,19.891291,21.009410,0.402020
GRU_Decay_Combined,29.16123222589195,30.670989976162698,0.5932733026646586
# topic modeling
Ridge_Topic1,19.337397,20.648168,0.382048
Ridge_decay_Topic1,19.596941,20.886013,0.385101
Ridge_Topic2,20.200533,21.442754,0.389833
Ridge_decay_Topic2,20.417431,21.796247,0.391436
Ridge_Topic3,19.094688,21.748830,0.343869
Ridge_decay_Topic3,19.187004,21.957118,0.341882
Ridge_Topic4,20.667842,21.620837,0.410961
Ridge_decay_Topic4,21.113865,22.084681,0.417028
Ridge_Topic5,19.160031,20.367887,0.371744
Ridge_decay_Topic5,19.374882,20.599756,0.373593
GRU_Topic1,19.808273601936786,23.08081540115235,0.41749313531510623
GRU_decay_Topic1,19.913411962387713,22.439708262150827,0.4067136332294305
GRU_Topic2,19.49901703738095,22.002774214315867,0.39485546204372873
GRU_decay_Topic2,26.290081134467535,29.09512690208411,0.4902162534917518
GRU_Topic3,25.813518431017016,31.70484835895727,0.4608561176305331
GRU_decay_Topic3,35.483338424170135,40.768038777088,0.6393832951834234
GRU_Topic4,34.244512210612584,34.882764458188234,0.6726735538393156
GRU_decay_Topic4,23.55509745260898,26.850024538711875,0.4992168365876321
GRU_Topic5,16.95174524390593,20.467131222097418,0.35939909126999525
GRU_decay_Topic5,19.06625744575567,21.415123362810302,0.3827326817577294

# embedding: scaling & aggregation
Ridge_EMB_maxmin_single_scale,13.696829,16.018551,0.255451
Ridge_EMB_maxmin_single,14.360437,15.792655,0.282709
GRU_EMB_maxmin_single_scale,22.08176837044473,24.04005405178078,0.46157330300791793
GRU_EMB_maxmin_single,11.11333972395429,13.931072025995414,0.21793979958314846

Ridge_EMB_mean_single_scale,13.696825,16.018547,0.255451
Ridge_EMB_mean_single,15.527884,16.795942,0.309716
GRU_EMB_mean_single_scale,18.602426377764402,20.615888592908227,0.39108587344664136
GRU_EMB_mean_single,11.026126431862018,14.235045050390058,0.20688430226716065

Ridge_EMB_mean_of_mean_single,20.255249,21.277674,0.409468
Ridge_EMB_mean_of_mean_single_scale,20.391579,21.429479,0.411360
GRU_EMB_mean_of_mean_single,26.569503061993522,28.395283638772035,0.5504394993230147
GRU_EMB_mean_of_mean_single_scale,26.258273863229693,28.000538182357435,0.5426645292717592

Ridge_EMB_maxmeanmin_single_scale,13.364310,15.790727,0.245216
Ridge_EMB_maxmeanmin_single,13.905788,15.389191,0.271836
GRU_EMB_maxmeanmin_single_scale,22.427674001373862,24.34786939132581,0.46814832643812937
GRU_EMB_maxmeanmin_single,9.619585924989687,12.0792306690908,0.18226956309340683


# embedding: sequence VS single step
GRU_EMB_maxmeanmin_single(CNN+ConvLSTM),12.613764558022067,15.716695060605266,0.23342451061279534
GRU_EMB_maxmeanmin_10steps(CNN+ConvLSTM),9.794422676000702,11.759491959047194,0.18000247083867232

GRU_EMB_maxmeanmin_single(ConvLSTM),10.625873647180402,13.128697454044024,0.2082315314770961
GRU_EMB_maxmeanmin_10steps(ConvLSTM),6.6983750600255245,8.010138576457862,0.1281748555843715

GRU_EMB_maxmeanmin_single(CNN*2),8.474652668828549,10.60611229921356,0.16163417794295246
GRU_EMB_maxmeanmin_10steps(CNN*2),5.9104723515314115,7.527725908741773,0.11084155815142266

# event
GRU_eventEMB_maxmeanmin_single[-1.3.900](CNN*2),11.603145264293099,14.610317272683705,0.224775652466342
GRU_eventEMB_maxmeanmin_10step3t[-1.30.900](CNN*2),5.553281876742077,7.008798243374796,0.10371202834184923
GRU_eventEMB_maxmeanmin_10step_join[-1.10.2700](CNN*2),9.493356764225092,11.2127954271679,0.18638164561660844
GRU_eventEMB_maxmeanmin_10step[-1.3.10.900](CNN*2),7.90249343228157,9.975755000525274,0.14335205755834166
GRU_eventEMB_maxmeanmin_10step[-1.10.3.900](CNN*2),7.1717133257151255,9.269719394691574,0.12434381980479753

GRU_eventEMB_maxmeanmin_single[-1.3.900](ConvLSTM),13.572744678759394,16.218635444474543,0.2710103028916223
GRU_eventEMB_maxmeanmin_10step3t[-1.30.900](ConvLSTM),8.124422417174825,10.225250561013684,0.14443083850405675
GRU_eventEMB_maxmeanmin_10step[-1.10.2700](ConvLSTM),7.4555349585101425,9.130922259948669,0.14691297947500254
GRU_eventEMB_maxmeanmin_10step[-1.3.10.900](ConvLSTM),7.90249343228157,9.975755000525274,0.14335205755834166
GRU_eventEMB_maxmeanmin_10step[-1.10.3.900](ConvLSTM),8.494337428646622,10.79168992286474,0.14780150594389935

GRU_eventEMB_maxmeanmin_single[-1.3.900](CNN+ConvLSTM),13.11810320002432,16.559564874455816,0.25688445704783
GRU_eventEMB_maxmeanmin_single[-1.1.2700](CNN+ConvLSTM),13.096412635589678,16.53455658218449,0.2503285386034684
GRU_eventEMB_maxmeanmin_10step[-1.30.900](CNN+ConvLSTM),7.581866357515534,9.334348209382727,0.15012066209546604
GRU_eventEMB_maxmeanmin_10step[-1.10.2700](CNN+ConvLSTM),8.47019146336314,10.219884457781871,0.1553071653045336
GRU_eventEMB_maxmeanmin_10step[-1.3.10.900](CNN+ConvLSTM),9.927663850808692,12.56805149477084,0.1784693477101629
GRU_eventEMB_maxmeanmin_10step[-1.10.3.900](CNN+ConvLSTM),11.421136873445244,13.590058187329145,0.20321781747401282







