Method, MAE, RMSE, MAPE
Ridge_all,1.693179,2.062872,0.023975
GRU_all,3.520945808134424,4.945912229998473,0.07501406790988394

Ridge_f_regression_30,0.974943,1.257420,0.015675
GRU_f_regression_30,38.12125257932589,38.8102785814674,0.7477955587185976

Ridge_f_regression_50,0.985570,1.277909,0.015809
GRU_f_regression_50,12.580470554194648,16.026720779055555,0.21276406924097938

Ridge_f_regression_100,1.087701,1.396045,0.017159
GRU_f_regression_100,4.49179213601254,6.004436160609084,0.07904153344360516

Ridge_f_regression_150,1.339789,1.689044,0.020073
GRU_f_regression_150,3.9747640739755234,5.237726516200813,0.07122757304979446

Ridge_r_regression_30,0.974943,1.257420,0.015675
GRU_r_regression_30,37.77849673420005,38.46876011097198,0.7420861218477194

Ridge_r_regression_50,0.993884,1.288242,0.015939
GRU_r_regression_50,16.345802480671438,22.963407104811303,0.2776170861281221

Ridge_r_regression_100,1.060474,1.357307,0.016786
GRU_r_regression_100,8.666439478537265,12.435519860548233,0.14782701932615094

Ridge_r_regression_150,1.272616,1.617256,0.019350
GRU_r_regression_150,12.235832279124358,16.178761737584235,0.20541231642707267

Ridge_mutual_info_30,0.974943,1.257420,0.015675
GRU_mutual_info_30,37.20823417292105,37.89428601893197,0.7287737897233628

Ridge_mutual_info_50,0.996717,1.293850,0.015954
GRU_mutual_info_50,11.594759657308552,14.607288215581178,0.19604742590750626

Ridge_mutual_info_100,1.242042,1.582509,0.018974
GRU_mutual_info_100,2.5297881843862164,3.092905418596403,0.04805830017423217

Ridge_mutual_info_150,1.220278,1.556507,0.018783
GRU_mutual_info_150,6.139118544903587,8.436315289257179,0.10351600874934204


Ridge_abs_energy_30,0.986555,1.279934,0.015890
GRU_abs_energy_30,33.8881537146217,34.71876181638299,0.6576010663730784

Ridge_abs_energy_50,0.999380,1.293769,0.016072
GRU_abs_energy_50,11.705700904188978,17.435767927133067,0.1984806406382654

Ridge_abs_energy_100,1.354450,1.702959,0.020236
GRU_abs_energy_100,4.0701873118273175,5.156508727636831,0.07213688729408188

Ridge_abs_energy_150,1.489722,1.851914,0.021809
GRU_abs_energy_150,3.7697029788128,4.700748986163013,0.06918235454994832


Ridge_ACF_30,0.986555,1.279934,0.015890
GRU_ACF_30,33.648048438597264,34.42511558680897,0.6518400334195857

Ridge_ACF_50,0.999380,1.293769,0.016072
GRU_ACF_50,11.896177329969463,17.662090290182082,0.2010370087543498

Ridge_ACF_100,1.354450,1.702959,0.020236
GRU_ACF_100,3.748129620498486,4.760919243882456,0.0676882053147817

Ridge_ACF_150,1.489722,1.851914,0.021809
GRU_ACF_150,4.1880620044417745,5.069289695417349,0.07681134903772319

Ridge_entropy_30,14.465546,16.816020,0.271680
GRU_entropy_30,10.243893050099729,14.075716720856539,0.1970427136711859

Ridge_entropy_50,14.439949,16.862624,0.268606
GRU_entropy_50,22.34987977826789,23.54401930338964,0.4539165523382138

Ridge_entropy_100,14.864221,17.360768,0.270846
GRU_entropy_100,38.27546593102921,39.3512505251764,0.770252278986073

Ridge_entropy_150,15.782088,18.285727,0.280981
GRU_entropy_150,38.509576454876964,39.78029735758439,0.7778923928744851

Ridge_nentropy_30,1.749633,2.114705,0.026591
GRU_nentropy_30,3.0152476116661426,3.810360770139678,0.054834825834900486

Ridge_nentropy_50,1.056106,1.358727,0.016899
GRU_nentropy_50,2.568038660018482,3.4446016407935987,0.046440655950122645

Ridge_nentropy_100,1.188029,1.517476,0.018268
GRU_nentropy_100,3.2924305888924854,4.5374642854096505,0.05911722746582898

Ridge_nentropy_150,1.335135,1.687453,0.019968
GRU_nentropy_150,3.0672752450854888,3.803504027819269,0.05767060037497942


Ridge_pk_pk_distance_30,1.043691,1.334187,0.016951
GRU_pk_pk_distance_30,9.001628448733973,9.516138697102464,0.1643795460206443

Ridge_pk_pk_distance_50,1.121672,1.429762,0.017782
GRU_pk_pk_distance_50,3.5200859538446205,4.26862846021969,0.06802166662311991

Ridge_pk_pk_distance_100,1.285903,1.619081,0.019694
GRU_pk_pk_distance_100,3.698730068135351,4.448721484554352,0.07371932662668845

Ridge_pk_pk_distance_150,1.583562,1.946872,0.023032
GRU_pk_pk_distance_150,3.8388783614674162,5.424104231799173,0.08380327295846025

Ridge_RFE_Ridge_30,0.991183,1.279186,0.015961
GRU_RFE_Ridge_30,5.001707065310818,5.894335823599054,0.09519519919719399

Ridge_RFE_Ridge_50,1.129941,1.445924,0.017617
GRU_RFE_Ridge_50,4.820545494660604,5.958128330552626,0.08782843519046352

Ridge_RFE_Ridge_100,1.311446,1.654324,0.019739
GRU_RFE_Ridge_100,5.021570308842462,6.5928037524639045,0.08843859796027924

Ridge_RFE_Ridge_150,1.439360,1.797854,0.021179
GRU_RFE_Ridge_150,4.341031120386017,5.232521351507403,0.07989371229344461

Ridge_RFECV_Ridge_44,1.064329,1.365189,0.016863
GRU_RFECV_Ridge_44,4.337427434075936,5.2949292099526835,0.08087310423377023

Ridge_RFECV_Ridge_50,1.129941,1.445924,0.017617
GRU_RFECV_Ridge_50,4.702459680602494,6.223038836942656,0.08370302188155203

Ridge_RFECV_Ridge_100,1.311446,1.654324,0.019739
GRU_RFECV_Ridge_100,4.905958667807513,5.9493297339256035,0.08790889373538054

Ridge_RFECV_Ridge_151,1.439331,1.797822,0.021179
GRU_RFECV_Ridge_151,4.889458352992597,5.8202264133180455,0.09066421778383782


Ridge_SelectFromModel_Ridge_30,0.998493,1.279210,0.016123
GRU_SelectFromModel_Ridge_30,2.3042806665846767,2.954880660379736,0.04246469122178432

Ridge_SelectFromModel_Ridge_50,1.096340,1.405835,0.017323
GRU_SelectFromModel_Ridge_50,3.54996168424723,4.454753124763825,0.0651203034240982

Ridge_SelectFromModel_Ridge_93,1.267735,1.602294,0.019198
GRU_SelectFromModel_Ridge_93,3.985099047066716,5.267536103318112,0.07104169538557563

Ridge_StepForward_Ridge_30,1.020926,1.319238,0.016306
GRU_StepForward_Ridge_30,3.7380827887793457,4.59050836947014,0.07542520591925499

Ridge_StepForward_Ridge_50,1.114915,1.419942,0.017435
GRU_StepForward_Ridge_50,4.977688536149881,6.5479876599326525,0.10748646897599379

Ridge_StepForward_Ridge_100,1.239161,1.564871,0.018827
GRU_StepForward_Ridge_100,35.48841615293505,36.68196896599512,0.7171476813860851

Ridge_PCA_30,1.216347,1.529354,0.018587
GRU_PCA_30,7.050800059267346,9.027975648505494,0.122641900119384

Ridge_PCA_50,1.460779,1.809026,0.021366
GRU_PCA_50,8.2228554979722,9.455097162116065,0.16355742113481692

Ridge_PCA_100,1.555134,1.923783,0.022401
GRU_PCA_100,37.74304456656048,38.98681607473474,0.7624719555901612

Ridge_PCA_150,1.940951,2.358219,0.026618
GRU_PCA_150,38.45874702825082,39.72043083745239,0.7767720972394307

Ridge_NMF_30,2.597297,3.208816,0.040584
GRU_NMF_30,4.0149501573845985,4.5951620296749836,0.07601233363334758

Ridge_NMF_50,2.463307,3.079934,0.038435
GRU_NMF_50,5.376125948140387,6.679149713541554,0.10551457456088091

Ridge_NMF_100,1.428736,1.789245,0.021901
GRU_NMF_100,5.717397959943717,6.644526714216121,0.10468503480408596

Ridge_NMF_150,1.721766,2.121848,0.025035
GRU_NMF_150,3.6346347882179137,4.584201580230208,0.06575599471200891

Lasso_all,1.127299,1.433403,0.017839
RandomForestRegressor_all,4.168152,4.764288,0.079625
